DescriptorName,TreeNumber
Reagent Strips,E07.720.720
Reagins,D12.776.124.486.485.114.890
Reagins,D12.776.124.790.651.114.890
Reagins,D12.776.377.715.548.114.890
Reality Testing,F01.752.747.189.508
Reality Testing,F02.739.794.206.508
Reality Therapy,F04.754.804
Rec A Recombinases,D08.811.739.650
Rec A Recombinases,D08.811.913.696.445.692
Mental Recall,F02.463.425.540.641
Receptor Aggregation,G04.774
"Receptors, Adrenergic",D12.776.543.750.670.300.300
"Receptors, Adrenergic",D12.776.543.750.695.150.300
"Receptors, Adrenergic",D12.776.543.750.720.330.300
"Receptors, Adrenergic, alpha",D12.776.543.750.670.300.300.300
"Receptors, Adrenergic, alpha",D12.776.543.750.695.150.300.300
"Receptors, Adrenergic, alpha",D12.776.543.750.720.330.300.300
"Receptors, Adrenergic, beta",D12.776.543.750.670.300.300.340
"Receptors, Adrenergic, beta",D12.776.543.750.695.150.300.340
"Receptors, Adrenergic, beta",D12.776.543.750.720.330.300.340
"Receptors, Androgen",D12.776.826.750.150
"Receptors, Angiotensin",D12.776.543.750.695.047
"Receptors, Angiotensin",D12.776.543.750.750.130
"Receptors, Antigen",D12.776.543.750.705.816
"Receptors, Antigen, B-Cell",D12.776.124.790.651.950
"Receptors, Antigen, B-Cell",D12.776.377.715.548.950
"Receptors, Antigen, B-Cell",D12.776.543.750.705.816.821
"Receptors, Antigen, T-Cell",D12.776.543.750.705.816.824
"Receptors, Cholecystokinin",D12.776.543.750.695.170
"Receptors, Cholecystokinin",D12.776.543.750.720.600.270
"Receptors, Cholecystokinin",D12.776.543.750.750.360.200
"Receptors, Cholecystokinin",D12.776.543.750.750.555.270
"Receptors, Cholinergic",D12.776.543.750.720.360
"Receptors, Complement",D12.776.543.750.705.833
"Receptors, Concanavalin A",D12.776.543.750.705.880.600
"Receptors, Cyclic AMP",D12.776.543.750.695.700.150
"Receptors, Cyclic AMP",D12.776.543.750.720.700.150
"Receptors, Dopamine",D12.776.543.750.670.300.400
"Receptors, Dopamine",D12.776.543.750.695.150.400
"Receptors, Dopamine",D12.776.543.750.720.330.400
"Receptors, Drug",D12.776.827
"Receptors, Cell Surface",D12.776.543.750
"Receptors, Opioid",D12.776.543.750.695.620
"Receptors, Opioid",D12.776.543.750.720.600.610
"Receptors, Opioid",D12.776.543.750.750.555.610
"Receptors, Estradiol",D12.776.826.750.350.350
"Receptors, Estrogen",D12.776.826.750.350
"Receptors, Estrogen",D12.776.930.778.350
"Receptors, Fc",D12.776.543.750.705.871
"Receptors, FSH",D12.776.543.750.695.250
"Receptors, FSH",D12.776.543.750.720.600.370
"Receptors, FSH",D12.776.543.750.750.555.370
"Receptors, FSH",D12.776.543.750.750.660.350.300
"Receptors, GABA-A",D12.776.157.530.400.175.562
"Receptors, GABA-A",D12.776.157.530.400.400.100.100
"Receptors, GABA-A",D12.776.543.550.450.175.562
"Receptors, GABA-A",D12.776.543.550.450.500.100.100
"Receptors, GABA-A",D12.776.543.585.400.175.562
"Receptors, GABA-A",D12.776.543.585.400.500.100.100
"Receptors, GABA-A",D12.776.543.750.130.500
"Receptors, GABA-A",D12.776.543.750.720.200.300.300
"Receptors, Gastrointestinal Hormone",D12.776.543.750.750.360
"Receptors, Glucocorticoid",D12.776.826.750.430
"Receptors, LHRH",D12.776.543.750.695.410
"Receptors, LHRH",D12.776.543.750.720.600.460
"Receptors, LHRH",D12.776.543.750.750.555.460
"Receptors, LHRH",D12.776.543.750.750.700.460
"Receptors, Gonadotropin",D12.776.543.750.750.660.350
"Receptors, Histamine",D12.776.543.750.670.450
"Receptors, Histamine",D12.776.543.750.720.480
"Receptors, Histamine H1",D12.776.543.750.670.450.300
"Receptors, Histamine H1",D12.776.543.750.695.350
"Receptors, Histamine H1",D12.776.543.750.720.480.300
"Receptors, Histamine H2",D12.776.543.750.670.450.400
"Receptors, Histamine H2",D12.776.543.750.695.355
"Receptors, Histamine H2",D12.776.543.750.720.480.400
"Receptors, Immunologic",D12.776.543.750.705
"Receptor, Insulin",D08.811.913.696.620.682.725.400.200
"Receptor, Insulin",D12.776.476.568.400.200
"Receptor, Insulin",D12.776.543.750.630.484
"Receptor, Insulin",D12.776.543.750.750.580.300
"Receptors, LDL",D12.776.543.750.710.450
"Receptors, LH",D12.776.543.750.695.400
"Receptors, LH",D12.776.543.750.720.600.450
"Receptors, LH",D12.776.543.750.750.555.450
"Receptors, LH",D12.776.543.750.750.660.350.450
"Receptors, Mitogen",D12.776.543.750.705.880
"Receptors, Muscarinic",D12.776.543.750.695.475
"Receptors, Muscarinic",D12.776.543.750.720.360.500
"Receptors, Nicotinic",D12.776.157.530.400.400.100.500
"Receptors, Nicotinic",D12.776.543.550.450.500.100.500
"Receptors, Nicotinic",D12.776.543.585.400.500.100.500
"Receptors, Nicotinic",D12.776.543.750.130.687
"Receptors, Nicotinic",D12.776.543.750.720.360.550
"Receptors, Pituitary Hormone",D12.776.543.750.750.660
"Receptors, Progesterone",D12.776.826.750.765
"Receptors, Prolactin",D12.776.543.750.720.600.710
"Receptors, Prolactin",D12.776.543.750.750.555.710
"Receptors, Prolactin",D12.776.543.750.750.660.350.725
"Receptors, Prostaglandin",D12.776.543.750.695.200.700
"Receptors, Purinergic",D12.776.543.750.695.700
"Receptors, Purinergic",D12.776.543.750.720.700
Sensory Receptor Cells,A08.675.650.915
Sensory Receptor Cells,A08.800.950
Sensory Receptor Cells,A11.671.650.915
"Receptors, Serotonin",D12.776.543.750.670.800
"Receptors, Serotonin",D12.776.543.750.695.800
"Receptors, Serotonin",D12.776.543.750.720.850
"Receptors, Somatotropin",D12.776.543.750.750.555.770
"Receptors, Somatotropin",D12.776.543.750.750.660.750
"Receptors, Steroid",D12.776.826.750
"Receptors, Steroid",D12.776.930.778
"Receptors, Thyroid Hormone",D12.776.624.664.700.830
"Receptors, Thyroid Hormone",D12.776.826.850
"Receptors, Thyrotropin",D12.776.543.750.720.600.850
"Receptors, Thyrotropin",D12.776.543.750.750.555.850
"Receptors, Thyrotropin",D12.776.543.750.750.660.825
"Receptors, Transferrin",D12.776.157.905.500
"Receptors, Transferrin",D12.776.543.750.800
"Receptors, Virus",D12.776.543.750.830
Endosomes,A11.284.430.214.190.875.190.880.337
Recombinant Fusion Proteins,D12.776.828.300
Recombinant Proteins,D12.776.828
"Recombination, Genetic",G05.728
Records,E05.318.308.940
Records,L01.399.250.900
Records,N04.452.859
Records,N05.715.360.300.715
Records,N06.850.520.308.940
Recovery Room,N02.278.388.493.592
Recreation,I03.450.642
"Recruitment, Neurophysiological",G07.265.753.760
"Recruitment, Neurophysiological",G11.561.601.760
"Recruitment Detection, Audiologic",E01.370.382.375.650
Hyperacusis,C09.218.458.505
Hyperacusis,C10.597.751.418.505
Hyperacusis,C23.888.592.763.393.505
Rectal Diseases,C06.405.469.860
Rectal Fistula,C06.267.550.600
Rectal Fistula,C06.405.469.471.600
Rectal Fistula,C06.405.469.860.752
Rectal Fistula,C23.300.575.185.550.600
Rectal Neoplasms,C04.588.274.476.411.307.790
Rectal Neoplasms,C06.301.371.411.307.790
Rectal Neoplasms,C06.405.249.411.307.790
Rectal Neoplasms,C06.405.469.491.307.790
Rectal Neoplasms,C06.405.469.860.180.500
Rectal Prolapse,C06.405.469.860.800
Rectal Prolapse,C23.300.842.624.500
Rectovaginal Fistula,C06.267.550.600.650
Rectovaginal Fistula,C06.405.469.471.600.650
Rectovaginal Fistula,C06.405.469.860.752.650
Rectovaginal Fistula,C12.050.351.500.894.767.249
Rectovaginal Fistula,C12.100.250.894.767.249
Rectovaginal Fistula,C23.300.575.185.550.600.650
Rectovaginal Fistula,C23.300.575.925.558
Rectum,A03.556.124.526.767
Rectum,A03.556.249.249.767
Recurrence,C23.550.291.937
Recurrent Laryngeal Nerve,A08.800.050.050.925.450.700
Recurrent Laryngeal Nerve,A08.800.050.600.825.450.700
Recurrent Laryngeal Nerve,A08.800.800.060.920.450.700
Recurrent Laryngeal Nerve,A08.800.800.120.900.450.700
"Red-Cell Aplasia, Pure",C15.378.071.750
Red Cross,N03.540.514.642
Red Cross,N03.540.630.780.608
Red Nucleus,A08.186.211.132.659.413.875.642
Reference Books,L01.462.500.682.192.836
"Reference Books, Medical",L01.462.500.682.192.836.842
Reference Standards,E05.978.808
Reference Values,E05.978.810
Referral and Consultation,N04.452.758.849
Reflex,E01.370.376.550.650
Reflex,E01.370.600.550.650
Reflex,F02.830.702
Reflex,G11.561.731
Reflex Sympathetic Dystrophy,C10.177.195.800
Reflex Sympathetic Dystrophy,C10.668.829.250.800
"Reflex, Abdominal",E01.370.376.550.650.650
"Reflex, Abdominal",E01.370.600.550.650.650
"Reflex, Abdominal",G11.561.731.580
"Reflex, Abnormal",C10.597.704
"Reflex, Abnormal",C23.888.592.717
"Reflex, Abnormal",E01.370.376.550.650.655
"Reflex, Abnormal",E01.370.600.550.650.655
"Reflex, Abnormal",G11.561.731.587
"Reflex, Acoustic",E01.370.376.550.650.670
"Reflex, Acoustic",E01.370.600.550.650.670
"Reflex, Acoustic",G07.888.813
"Reflex, Acoustic",G11.561.731.594
"Reflex, Monosynaptic",G11.561.731.643
"Reflex, Oculocardiac",G11.561.731.685
"Reflex, Pupillary",E01.370.376.550.650.690
"Reflex, Pupillary",E01.370.600.550.650.690
"Reflex, Pupillary",G11.561.731.705
"Reflex, Stretch",E01.370.376.550.650.700
"Reflex, Stretch",E01.370.600.550.650.700
"Reflex, Stretch",G11.561.731.768
"Reflex, Vestibulo-Ocular",G07.888.937
"Reflex, Vestibulo-Ocular",G11.561.731.795
Reflexotherapy,E02.190.799
"Refraction, Ocular",E01.370.380.850.700
"Refraction, Ocular",G01.590.775
"Refraction, Ocular",G14.760
Refractive Errors,C11.744
Refractometry,E05.196.808
Refractometry,H01.671.617.755
"Refractory Period, Electrophysiological",G07.265.753.770
"Refractory Period, Electrophysiological",G07.265.760
"Refractory Period, Electrophysiological",G11.561.601.770
"Refractory Period, Electrophysiological",G11.561.785
"Refractory Period, Psychological",E05.796.817.559
"Refractory Period, Psychological",F02.830.650.400
"Refractory Period, Psychological",F04.669.817.559
Refrigeration,E02.792.643
Refrigeration,E05.760.643
Refsum Disease,C10.228.140.163.100.813
Refsum Disease,C10.500.300.780
Refsum Disease,C10.574.500.495.780
Refsum Disease,C10.668.829.800.300.780
Refsum Disease,C16.131.666.300.780
Refsum Disease,C16.320.400.375.780
Refsum Disease,C16.320.565.189.813
Refsum Disease,C16.320.565.663.760
Refsum Disease,C18.452.132.100.813
Refsum Disease,C18.452.648.189.813
Refsum Disease,C18.452.648.663.760
Refugees,M01.755
Refuse Disposal,N06.850.780.200.800.800.700
Refuse Disposal,N06.850.860.510.900.600
Regeneration,G16.762
Regional Blood Flow,G09.330.100.780
Regional Health Planning,N03.349.650
Regional Medical Programs,N03.349.650.400
Registries,E05.318.308.970
Registries,N04.452.859.819
Registries,N05.715.360.300.715.700
Registries,N06.850.520.308.970
"Regression, Psychology",F01.393.784
Regression Analysis,E05.318.740.750
Regression Analysis,N05.715.360.750.695
Regression Analysis,N06.850.520.830.750
"Regulatory Sequences, Nucleic Acid",G02.111.570.080.689
"Regulatory Sequences, Nucleic Acid",G05.360.080.689
Rehabilitation,E02.760.169.063.500
Rehabilitation,E02.831
Rehabilitation,H02.403.680.600
Rehabilitation,N02.421.784
Rehabilitation Centers,N02.278.808
Correction of Hearing Impairment,E02.760.169.063.500.200
Correction of Hearing Impairment,E02.831.200
Correction of Hearing Impairment,H02.403.680.600.500
Correction of Hearing Impairment,N02.421.784.377
Rehabilitation of Speech and Language Disorders,E02.760.169.063.500.727
Rehabilitation of Speech and Language Disorders,E02.831.727
"Rehabilitation, Vocational",E02.760.169.063.500.782
"Rehabilitation, Vocational",E02.831.782
"Rehabilitation, Vocational",N02.421.784.644
Reimbursement Mechanisms,N03.219.521.710.305
"Reimbursement, Incentive",N03.219.521.710.305.380
Reindeer,B01.050.150.900.649.313.500.380.373.644
"Reinforcement, Psychology",F02.463.425.770
Reinforcement Schedule,F02.463.425.770.644
"Reinforcement, Social",F02.463.425.770.706
"Reinforcement, Verbal",F02.463.425.770.769
"Rejection, Psychology",F01.145.813.565
Rejuvenation,E02.849
Relapsing Fever,C01.150.252.400.794.352.500
Relapsing Fever,C01.920.930.775
Relative Biological Effectiveness,N06.850.810.250.275
Relaxation,I03.450.769
Relaxation Therapy,E02.190.525.875
Relaxation Therapy,F04.754.137.750
Relaxin,D06.472.334.734.769
Relaxin,D06.472.699.715
Relaxin,D12.644.548.762
Relief Work,I01.880.787.839
Relief Work,N06.230.100.300
Religion,K01.844
Religion and Medicine,K01.844.619
Religion and Psychology,F02.880
Religion and Psychology,K01.844.664
Religion and Science,K01.844.709
Religion and Sex,K01.844.754
Religious Philosophies,K01.844.799
Remedial Teaching,F02.784.629.709
Remedial Teaching,I02.903.694
Remission Induction,E02.860
"Remission, Spontaneous",C23.550.291.656.700
"Remission, Spontaneous",G16.767
Renal Agents,D27.505.954.493.250
Renal Artery,A07.015.114.745
Renal Artery Obstruction,C12.050.351.968.419.775
Renal Artery Obstruction,C12.200.777.419.775
Renal Artery Obstruction,C12.950.419.775
Renal Artery Obstruction,C14.907.137.727
Renal Circulation,G08.852.725
Renal Circulation,G09.330.100.812
Chronic Kidney Disease-Mineral and Bone Disorder,C05.116.198.816.750
Chronic Kidney Disease-Mineral and Bone Disorder,C12.050.351.968.419.795
Chronic Kidney Disease-Mineral and Bone Disorder,C12.200.777.419.080
Chronic Kidney Disease-Mineral and Bone Disorder,C12.950.419.795
Chronic Kidney Disease-Mineral and Bone Disorder,C18.452.104.816.750
Chronic Kidney Disease-Mineral and Bone Disorder,C18.452.174.845.750
Chronic Kidney Disease-Mineral and Bone Disorder,C18.654.521.500.133.770.734.750
Chronic Kidney Disease-Mineral and Bone Disorder,C19.642.355.480.500
Chronic Kidney Disease-Mineral and Bone Disorder,C23.550.291.500.290
Renal Veins,A07.015.908.752
Renin,D08.811.277.656.074.500.780
Renin,D08.811.277.656.300.048.780
Renin,D08.811.277.656.837.750
Renin-Angiotensin System,G03.820
Renin-Angiotensin System,G09.330.380.813
Chymosin,D08.811.277.656.074.500.200
Chymosin,D08.811.277.656.300.048.200
Reoperation,E04.690
Reoviridae,B04.820.223.719
Reoviridae Infections,C01.925.782.791
Mammalian orthoreovirus 3,B04.820.223.719.590.550.700
Cumulative Trauma Disorders,C26.844.150
"Repetitive Sequences, Nucleic Acid",G02.111.570.080.708
"Repetitive Sequences, Nucleic Acid",G05.360.080.708
Replantation,E04.936.494
Replicon,G05.360.340.024.745
"Repression, Psychology",F01.393.821
Repression-Sensitization,F01.393.821.645
Repressor Proteins,D12.776.260.703
Repressor Proteins,D12.776.930.780
Reproduction,G08.686.784
Reproductive Techniques,E02.875
Reproductive Techniques,E05.820
"Reproduction, Asexual",G08.686.784.830
Reproductive and Urinary Physiological Phenomena,G08
Reproductive Control Agents,D27.505.696.875
Reproductive Control Agents,D27.505.954.705
Batroxobin,D08.811.277.656.300.760.955.135
Batroxobin,D08.811.277.656.959.350.955.135
Batroxobin,D20.888.850.960.200.105
Batroxobin,D23.946.833.850.960.200.105
Reptiles,B01.050.150.900.833
Research,H01.770.644
Research Design,E05.581.500
Research Design,H01.770.644.728
Research Personnel,M01.526.839
Research Support as Topic,N03.219.483.645
Reserpine,D03.132.436.681.933.500
Reserpine,D03.633.100.473.402.681.933.500
Reserpine,D03.633.100.496.500.500.681.933.500
Residence Characteristics,N01.224.791
Residence Characteristics,N06.850.505.400.800
Residential Facilities,J03.775
Residential Facilities,N02.278.825
Residential Treatment,F04.754.864.696
Residual Volume,E01.370.386.700.485.750.275.650
Residual Volume,G09.772.850.390.820
"Resins, Plant",D05.750.078.840
"Resins, Plant",D20.215.721.500
"Resins, Synthetic",D05.750.716.822
"Resins, Synthetic",D25.339.816
"Resins, Synthetic",D25.720.716.822
"Resins, Synthetic",J01.637.051.339.816
"Resins, Synthetic",J01.637.051.720.716.822
Resorcinols,D02.455.426.559.389.657.852
Respiration,G09.772.705
Respiration Disorders,C08.618
"Respiration, Artificial",E02.041.625
"Respiration, Artificial",E02.365.647.729
"Respiration, Artificial",E02.880.820
"Ventilators, Mechanical",E07.950
Pulmonary Ventilation,E01.370.386.700.660
Pulmonary Ventilation,G09.772.650
Respiratory Care Units,N02.278.388.493.696
Respiratory Center,A08.186.211.132.772.646
Respiratory Dead Space,G09.772.760
"Respiratory Distress Syndrome, Newborn",C08.381.840.500
"Respiratory Distress Syndrome, Newborn",C08.618.840.500
"Respiratory Distress Syndrome, Newborn",C16.614.521.563
Respiratory Distress Syndrome,C08.381.840
Respiratory Distress Syndrome,C08.618.840
Respiratory Function Tests,E01.370.386.700
Respiratory Hypersensitivity,C08.674
Respiratory Hypersensitivity,C20.543.480.680
Respiratory Insufficiency,C08.618.846
Respiratory Muscles,A02.633.567.900
Respiratory Paralysis,C08.618.846.812
Respiratory Paralysis,C10.597.622.812
Respiratory Paralysis,C23.888.592.636.812
Respiratory Protective Devices,E07.700.560.937
Respiratory Protective Devices,E07.700.700
Respiratory Protective Devices,J01.637.708.560.937
Respiratory Sounds,C23.888.852.779
Respiratory Sounds,E01.370.386.720
Respiratory Sounds,G09.772.775
Respiratory Syncytial Viruses,B04.820.480.937.600.670.600.750
Respiratory System,A04
Respiratory Therapy,E02.880
"Respiratory Therapy Department, Hospital",N02.278.216.500.968.712
"Respiratory Therapy Department, Hospital",N04.452.442.452.422.712
Respiratory Tract Diseases,C08
Respiratory Tract Infections,C01.748
Respiratory Tract Infections,C08.730
Respiratory Tract Neoplasms,C04.588.894.797
Respiratory Tract Neoplasms,C08.785
Respiratory Physiological Phenomena,G09.772
Respite Care,E02.760.611.470.610
Respite Care,N02.421.143.524.470.610
Respite Care,N02.421.533.320.610
Rest,I03.450.769.647
Restaurants,J01.576.423.500.700
Restaurants,J03.813
Restless Legs Syndrome,C10.803
Restless Legs Syndrome,C10.886.425.800.700
Restless Legs Syndrome,C10.886.659.634
Restless Legs Syndrome,F03.870.400.800.700
Restless Legs Syndrome,F03.870.664.634
"Restraint, Physical",E02.085.700
"Restraint, Physical",E05.472.760
"Polymorphism, Restriction Fragment Length",G05.365.795.595
Resuscitation,E02.365.647
Rete Testis,A05.360.444.849.600
"Retention, Psychology",F02.463.425.540.772
Reticular Formation,A08.186.211.132.772
Reticulin,D05.750.078.850
Reticulin,D12.776.860.823
Reticulocytes,A11.118.290.760
Reticulocytes,A11.148.790
Reticulocytes,A11.443.240.665
Reticulocytes,A15.145.229.334.760
Reticulocytes,A15.378.316.790
Mononuclear Phagocyte System,A15.382.670
Reticulum,A13.869.697
Retina,A09.371.729
Retinal Artery,A07.015.114.765
Retinal Artery,A07.015.611.647
Retinal Degeneration,C11.270.612
Retinal Degeneration,C11.768.585
Retinal Detachment,C11.768.648
Retinal Diseases,C11.768
Retinal Ganglion Cells,A08.675.650.850.875
Retinal Ganglion Cells,A09.371.729.831.875
Retinal Ganglion Cells,A11.671.650.850.875
Retinal Hemorrhage,C11.290.807
Retinal Hemorrhage,C11.768.710
Retinal Hemorrhage,C23.550.414.756.775
Retinal Perforations,C11.768.740
Retinal Pigments,D23.767.930
Retinal Vein,A07.015.611.773
Retinal Vein,A07.015.908.783
Retinal Vein Occlusion,C11.768.760
Retinal Vein Occlusion,C14.907.355.830.925.650
Retinal Vein Occlusion,C14.907.760
Retinal Vessels,A07.015.611
Retinaldehyde,D02.047.850
Retinaldehyde,D02.455.326.271.665.202.495.690
Retinaldehyde,D02.455.426.392.368.367.379.249.700.690
Retinaldehyde,D02.455.849.131.495.690
Retinaldehyde,D02.455.849.291.605
Retinaldehyde,D23.767.261.700.690
Retinitis,C11.768.773
Retinitis Pigmentosa,C11.270.684
Retinitis Pigmentosa,C11.768.585.658.500
Retinitis Pigmentosa,C16.320.290.684
Retinoblastoma,C04.557.465.625.600.725
Retinoblastoma,C04.557.470.670.725
Retinoblastoma,C04.557.580.625.600.725
Retinoblastoma,C04.588.364.818.760
Retinoblastoma,C11.270.862
Retinoblastoma,C11.319.475.760
Retinoblastoma,C11.768.717.760
Retinoids,D02.455.326.271.665.202.495
Retinoids,D02.455.426.392.368.367.379.249.700
Retinoids,D02.455.849.131.495
Retinoids,D23.767.261.700
Retinol-Binding Proteins,D12.776.157.700
Retinopathy of Prematurity,C11.768.836
Retinopathy of Prematurity,C16.614.521.731
Retirement,I03.702
Retraction of Publication as Topic,L01.737.840
Retrocochlear Diseases,C09.218.807
Retrograde Degeneration,C23.550.737.500
Retrograde Obturation,E06.397.778.778.648
Retroperitoneal Fibrosis,C23.550.355.700
Retroperitoneal Neoplasms,C04.588.033.731
Retroperitoneal Space,A01.923.047.025.750
Retropneumoperitoneum,C23.550.794
Retropneumoperitoneum,C26.748
Retrospective Studies,E05.318.372.500.500.500
Retrospective Studies,E05.318.372.500.750.750
Retrospective Studies,N05.715.360.330.500.500.500
Retrospective Studies,N05.715.360.330.500.750.825
Retrospective Studies,N06.850.520.450.500.500.500
Retrospective Studies,N06.850.520.450.500.750.825
Retroviridae,B04.613.807
Retroviridae,B04.820.650
Retroviridae Proteins,D12.776.964.775
Retroviridae Infections,C01.925.782.815
Reversal Learning,F02.463.425.798
RNA-Directed DNA Polymerase,D08.811.913.696.445.308.300.750
RNA-Directed DNA Polymerase,D12.776.964.775.375.750
RNA-Directed DNA Polymerase,D12.776.964.900.750.500.750
RNA-Directed DNA Polymerase,D12.776.964.970.600.850.375.750
Review Literature as Topic,L01.462.500.682.759
Reward,F02.463.425.770.836
Reye Syndrome,C06.552.241.649
Reye Syndrome,C10.228.140.163.780
Reye Syndrome,C18.452.132.780
Rh Isoimmunization,G09.188.114.750
Rh Isoimmunization,G12.122.780
Rh Isoimmunization,G12.186.750
Rh-Hr Blood-Group System,D23.050.301.290.775
Rh-Hr Blood-Group System,D23.050.705.230.775
Rhabdiasoidea,B01.050.500.500.294.400.875.640
Rhabdomyolysis,C05.651.807
Rhabdomyoma,C04.557.450.590.540.700
Rhabdomyosarcoma,C04.557.450.590.550.660
Rhabdomyosarcoma,C04.557.450.795.550.660
Rhabdoviridae,B04.820.480.937.750
Rhamnose,D09.254.799
Rhenium,D01.268.556.787
Rhenium,D01.268.956.750
Rhenium,D01.552.544.787
Rheology,E05.830
Rheology,H01.671.808
Rheumatic Fever,C01.150.252.410.890.731
Rheumatic Fever,C05.550.114.843
Rheumatic Fever,C05.799.825
Rheumatic Fever,C17.300.775.860
Rheumatic Heart Disease,C01.150.252.410.890.731.649
Rheumatic Heart Disease,C14.280.874
Rheumatic Nodule,C05.550.114.843.566
Rheumatic Nodule,C05.799.825.566
Rheumatic Diseases,C05.799
Rheumatic Diseases,C17.300.775
Rheumatoid Factor,D12.776.124.486.485.114.323.732
Rheumatoid Factor,D12.776.124.790.651.114.323.732
Rheumatoid Factor,D12.776.377.715.548.114.323.732
Rheumatoid Nodule,C05.550.114.154.683
Rheumatoid Nodule,C05.799.114.683
Rheumatoid Nodule,C17.300.775.099.683
Rheumatology,H02.403.429.730
Rhinitis,C01.748.674
Rhinitis,C08.460.799
Rhinitis,C08.730.674
Rhinitis,C09.603.799
"Rhinitis, Allergic, Perennial",C08.460.799.315.500
"Rhinitis, Allergic, Perennial",C08.674.453.500
"Rhinitis, Allergic, Perennial",C09.603.799.315.500
"Rhinitis, Allergic, Perennial",C20.543.480.680.443.500
"Rhinitis, Atrophic",C08.460.799.649
"Rhinitis, Atrophic",C09.603.799.649
"Rhinitis, Vasomotor",C08.460.799.910
"Rhinitis, Vasomotor",C09.603.799.910
Rhinophyma,C17.800.716.500
Rhinophyma,C17.800.794.650
Rhinoplasty,E02.218.755
Rhinoplasty,E04.580.392.500
Rhinoplasty,E04.617.650
Rhinoscleroma,C01.150.252.400.310.503.500
Rhinoscleroma,C01.150.252.819.705
Rhinoscleroma,C01.748.702
Rhinoscleroma,C01.800.720.705
Rhinoscleroma,C08.460.850
Rhinoscleroma,C08.730.702
Rhinoscleroma,C09.603.850
Rhinoscleroma,C17.800.838.765.705
Rhinosporidiosis,C01.610.600.700
Rhinosporidium,B01.500.700
Rhinovirus,B04.820.578.750.775
Rhizobiaceae,B03.440.400.425.700
Rhizobiaceae,B03.660.050.662
Rhizobium,B03.440.400.425.700.800
Rhizobium,B03.585.900
Rhizobium,B03.660.050.662.670
Rhizoctonia,B01.300.381.740
Rhizopus,B01.300.300.500.800
Rho Factor,D12.776.930.785
Rhodamines,D03.633.300.953.600
Rhodanine,D02.886.675.649
Rhodanine,D03.383.129.708.649
Rhode Island,Z01.107.567.875.550.680
Rhodium,D01.268.556.793
Rhodium,D01.268.956.781
Rhodium,D01.552.544.793
Rhodnius,B01.050.500.131.617.412.420.700.850.700
Rhodococcus,B03.510.024.981.775
Rhodopseudomonas,B03.440.400.425.200.700
Rhodopseudomonas,B03.660.050.035.700
Rhodobacter sphaeroides,B03.440.623.700
Rhodobacter sphaeroides,B03.660.050.750.700.700
Rhodopsin,D12.776.543.750.695.955
Rhodopsin,D23.767.930.750.500.500
Rhodospirillaceae,B03.440.400.425.708
Rhodospirillaceae,B03.660.050.755.750
Rhodospirillales,B03.660.050.755
Rhodospirillum,B03.440.400.425.708.733
Rhodospirillum,B03.660.050.755.750.733
Rhodospirillum rubrum,B03.440.400.425.708.733.650
Rhodospirillum rubrum,B03.660.050.755.750.733.650
Rhodotorula,B01.300.381.750
Rhodotorula,B01.300.930.650
Rhombencephalon,A08.186.211.132.810
Rheum,B01.875.800.575.912.250.825.700
Toxicodendron,B01.875.800.575.912.250.044.744
Natural Family Planning Methods,E02.875.194.605
Rib Fractures,C26.404.593
Rib Fractures,C26.891.733
Ribavirin,D13.570.800.790
Ribitol,D02.033.800.780
Ribitol,D09.853.780
Riboflavin,D03.633.100.733.315.650
Riboflavin,D03.633.300.507.650
Riboflavin,D08.211.474.650
Riboflavin,D23.767.405.650
Riboflavin Deficiency,C18.654.521.500.133.699.713
Riboflavin Synthase,D08.811.913.225.750
"Ribonuclease, Pancreatic",D08.811.277.352.355.350.715
"Ribonuclease, Pancreatic",D08.811.277.352.700.350.715
Ribonucleases,D08.811.277.352.700
Ribonucleoproteins,D12.776.157.725.500
Ribonucleoproteins,D12.776.664.962.500
Ribonucleoside Diphosphate Reductase,D08.811.682.810.567
Ribonucleosides,D13.570.800
Ribonucleotide Reductases,D08.811.682.810
Ribonucleotides,D13.695.827
Ribose,D09.947.875.627.651
Ribosemonophosphates,D09.894.643.700
Ribose-Phosphate Pyrophosphokinase,D08.811.913.696.175.650
Ribosomal Proteins,D12.776.835
Ribosomes,A11.284.430.214.190.875.811
Ribostamycin,D09.408.051.623.800
Ribs,A02.835.232.570.500
Ribulose-Bisphosphate Carboxylase,D08.811.520.224.125.800
Ribulose-Bisphosphate Carboxylase,D12.776.765.199.499
Ribulosephosphates,D09.894.643.720
Oryza,B01.875.800.575.912.250.822.616
Ricin,D08.811.277.450.430.700.750.666
Ricin,D12.776.034.756
Ricin,D12.776.503.499.937
Ricin,D12.776.765.678.906.750
Ricinoleic Acids,D10.212.507.300.500
Ricinoleic Acids,D10.251.355.325.600.780
Ricinus,B01.875.800.575.912.250.859.797.438.650
Rickets,C05.116.198.816
Rickets,C18.452.104.816
Rickets,C18.452.174.845
Rickets,C18.654.521.500.133.770.734
Rickettsia,B03.660.050.783.875.650.650
Rickettsia Infections,C01.150.252.400.789.725
Rickettsia Infections,C01.920.914.725
Rickettsia prowazekii,B03.660.050.783.875.650.650.600
Rickettsia rickettsii,B03.660.050.783.875.650.650.650
Orientia tsutsugamushi,B03.660.050.783.875.650.450.500
Rickettsia typhi,B03.660.050.783.875.650.650.810
Rickettsiaceae,B03.660.050.783.875
Rickettsiaceae Infections,C01.150.252.400.789
